PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_deck,Cabin_number,Cabin_side,Group,Group_size,Surname,Family_size,Solo,Expenditure,No_spending,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0,B,0.0,P,1,1,Ofracculy,1.0,1,0.0,1,1,0,0,0,0,0,0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,1,F,0.0,S,2,1,Vines,4.0,1,736.0,0,1,0,0,0,0,0,0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,0,A,0.0,S,3,2,Susent,6.0,0,10383.0,0,1,0,0,0,0,0,0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,0,A,0.0,S,3,2,Susent,6.0,0,5176.0,0,1,0,0,0,0,0,0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,1,F,1.0,S,4,1,Santantines,6.0,1,1091.0,0,1,0,0,0,0,0,0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,1,F,0.0,P,5,1,Hinetthews,7.0,1,774.0,0,1,0,0,0,0,0,0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,1,F,2.0,S,6,2,Jacostaffey,7.0,0,1584.0,0,1,0,0,0,0,0,0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,1,G,0.0,S,6,2,Jacostaffey,7.0,0,0.0,1,1,0,0,0,0,0,0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,1,F,3.0,S,7,1,Beston,5.0,1,1018.0,0,1,0,0,0,0,0,0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,1,B,1.0,P,8,3,Flatic,3.0,0,0.0,1,1,0,0,0,0,0,0
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,1,B,1.0,P,8,3,Flatic,3.0,0,0.0,1,1,0,0,0,0,0,0
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,1,B,1.0,P,8,3,Flatic,3.0,0,8157.0,0,1,0,0,0,0,0,0
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,1,F,1.0,P,9,1,Barne,4.0,1,1309.0,0,1,0,0,0,0,0,0
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,0,G,1.0,S,10,1,Baketton,5.0,1,809.0,0,1,0,0,0,0,0,0
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1,F,2.0,P,11,1,Bertsontry,4.0,1,1003.0,0,1,0,0,0,0,0,0
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,0,F,3.0,P,14,1,Eccle,1.0,1,1408.0,0,1,0,0,0,0,0,0
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,0,F,4.0,P,15,1,Hughriend,7.0,1,638.0,0,1,0,0,0,0,0,0
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,1,F,5.0,P,16,1,Upead,3.0,1,0.0,1,1,0,0,0,0,0,0
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,G,0.0,P,17,2,Brighttt,6.0,0,0.0,1,1,0,0,0,0,0,0
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,0,F,6.0,P,17,2,Brighttt,6.0,0,1092.0,0,1,0,0,0,0,0,0
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0,E,0.0,S,20,6,Brantuarez,7.0,0,0.0,1,1,0,0,0,0,0,0
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0,E,0.0,S,20,6,Brantuarez,7.0,0,0.0,1,1,0,0,0,0,0,0
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,0,E,0.0,S,20,6,Mcfaddennon,6.0,0,0.0,1,1,0,0,0,0,0,0
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,1,E,0.0,S,20,6,Jacostanley,1.0,0,0.0,1,1,0,0,0,0,0,0
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,0,E,0.0,S,20,6,Brantuarez,7.0,0,0.0,1,1,0,0,0,0,0,0
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0,E,0.0,S,20,6,Mcfaddennon,6.0,0,0.0,1,1,0,0,0,0,0,0
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,1,C,2.0,S,24,1,Fullided,1.0,1,0.0,1,1,0,0,0,0,0,0
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,0,F,6.0,S,25,1,Brookenson,3.0,1,1223.0,0,1,0,0,0,0,0,0
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,0,C,0.0,P,26,1,Unconary,2.0,1,7861.0,0,1,0,0,0,0,0,0
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,0,F,8.0,P,28,1,Mare,5.0,1,1309.0,0,1,0,0,0,0,0,0
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,0,G,4.0,S,30,1,Morsentley,4.0,1,1821.0,0,1,0,0,0,0,0,0
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,1,F,9.0,P,31,3,Datie,4.0,0,2854.0,0,1,0,0,0,0,0,0
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,F,9.0,P,31,3,Datie,4.0,0,0.0,1,1,0,0,0,0,0,0
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,1,F,9.0,P,31,3,Datie,4.0,0,2740.0,0,1,0,0,0,0,0,0
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,D,1.0,S,34,1,Oingwhedly,1.0,1,0.0,1,1,0,0,0,0,0,0
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,0,D,1.0,P,35,1,Butte,5.0,1,2699.0,0,1,0,0,0,0,0,0
0036_01,Earth,False,F/8/S,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,0,F,8.0,S,36,1,Leodger,5.0,1,961.0,0,1,0,0,0,0,0,0
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,0,F,10.0,S,38,1,Wheelez,7.0,1,3355.0,0,1,0,0,0,0,0,0
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,0,G,1.0,P,39,1,Batthewitt,1.0,1,0.0,1,1,0,0,0,0,0,0
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,G,2.0,P,41,1,Moodsey,10.0,1,0.0,1,1,0,0,0,0,0,0
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,0,B,3.0,P,43,1,Cylistrand,2.0,1,3575.0,0,1,0,0,0,0,0,0
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0,G,3.0,P,44,3,Coopelandez,6.0,0,0.0,1,1,0,0,0,0,0,0
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,1,G,3.0,P,44,3,Coopelandez,6.0,0,0.0,1,1,0,0,0,0,0,0
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,1,G,3.0,P,44,3,Coopelandez,6.0,0,0.0,1,1,0,0,0,0,0,0
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,0,F,10.0,P,45,2,Chmad,4.0,0,1214.0,0,1,0,0,0,0,0,0
0045_02,Mars,True,F/10/P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,F,10.0,P,45,2,Chmad,4.0,0,0.0,1,1,0,0,0,0,0,0
0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,0,E,1.0,S,50,1,Lancis,2.0,1,790.0,0,1,0,0,0,0,0,0
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,0,E,2.0,S,51,1,Johnshines,6.0,1,1618.0,0,1,0,0,0,0,0,0
0052_01,Earth,False,G/6/S,TRAPPIST-1e,27.0,False,4.0,0.0,2.0,4683.0,0.0,0,G,6.0,S,52,1,Hubbarton,8.0,1,4689.0,0,1,0,0,0,0,0,0
